location,size,total_sqft,bath,price,bhk,price_per_sqft
Greater Faridabad,1 RK,351.0,1.0,16.0,1,4558.404558404558
Greater Faridabad,1 RK,527.0,1.0,35.0,1,6641.366223908918
Greater Faridabad,1 RK,670.0,1.0,50.0,1,7462.686567164179
Greater Faridabad,1 RK,296.0,1.0,22.89,1,7733.108108108108
Greater Faridabad,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
Greater Faridabad,3 BHK,1672.0,3.0,150.0,3,8971.291866028709
Greater Faridabad,3 BHK,1750.0,3.0,149.0,3,8514.285714285714
Greater Faridabad,3 BHK,1670.0,3.0,160.0,3,9580.838323353293
Greater Faridabad,3 BHK,1750.0,3.0,150.0,3,8571.42857142857
Greater Faridabad,2 BHK,1296.0,2.0,70.0,2,5401.234567901234
Greater Faridabad,3 BHK,1250.0,2.0,44.0,3,3520.0
Greater Faridabad,2 BHK,1250.0,2.0,40.0,2,3200.0
Greater Faridabad,2 Bedroom,1200.0,2.0,83.0,2,6916.666666666667
Greater Faridabad,2 BHK,1170.0,2.0,40.0,2,3418.803418803419
Greater Faridabad,3 Bedroom,1200.0,3.0,160.0,3,13333.333333333334
Greater Faridabad,3 BHK,1425.0,2.0,65.0,3,4561.403508771929
Greater Faridabad,2 BHK,947.0,2.0,43.0,2,4540.654699049631
Greater Faridabad,2 BHK,1130.0,2.0,36.0,2,3185.8407079646017
Greater Faridabad,3 BHK,1417.0,2.0,76.0,3,5363.443895553987
Greater Faridabad,2 BHK,1230.0,2.0,58.0,2,4715.447154471544
Greater Faridabad,3 BHK,1705.0,3.0,75.0,3,4398.826979472141
Greater Faridabad,2 BHK,1116.0,2.0,47.0,2,4211.469534050179
Greater Faridabad,2 BHK,991.0,2.0,40.0,2,4036.326942482341
Greater Faridabad,3 BHK,1700.0,3.0,71.0,3,4176.470588235294
Greater Faridabad,1 RK,435.0,1.0,19.5,1,4482.758620689655
Greater Faridabad,1 RK,550.0,1.0,27.0,1,4909.090909090909
Greater Faridabad,3 Bedroom,600.0,2.0,110.0,3,18333.333333333332
Greater Faridabad,3 BHK,1450.0,2.0,70.0,3,4827.586206896552
Greater Faridabad,1 BHK,600.0,1.0,17.0,1,2833.3333333333335
Greater Faridabad,1 BHK,535.0,1.0,35.0,1,6542.056074766355
Greater Faridabad,1 BHK,700.0,1.0,25.5,1,3642.8571428571427
Greater Faridabad,1 RK,440.0,1.0,28.0,1,6363.636363636364
Greater Faridabad,1 RK,412.5,1.0,19.8,1,4800.0
Greater Faridabad,1 BHK,6000.0,1.0,276.0,1,4600.0
Greater Faridabad,3 Bedroom,2400.0,2.0,480.0,3,20000.0
Greater Faridabad,4 BHK,3420.0,3.0,410.0,4,11988.30409356725
Greater Faridabad,1 RK,510.0,1.0,25.25,1,4950.980392156863
Greater Faridabad,1 RK,445.0,1.0,28.0,1,6292.134831460674
Greater Faridabad,1 RK,510.0,1.0,25.25,1,4950.980392156863
Greater Faridabad,1 RK,905.0,1.0,52.0,1,5745.85635359116
Greater Faridabad,11 Bedroom,1200.0,6.0,150.0,11,12500.0
Greater Faridabad,11 BHK,5000.0,9.0,360.0,11,7200.0
Greater Faridabad,11 BHK,6000.0,12.0,150.0,11,2500.0
Greater Faridabad,11 Bedroom,1200.0,11.0,170.0,11,14166.666666666666
Greater Faridabad,1 BHK,1800.0,1.0,200.0,1,11111.111111111111
Greater Faridabad,4 Bedroom,2360.0,4.0,650.0,4,27542.372881355932
Greater Faridabad,14 BHK,1250.0,15.0,125.0,14,10000.0
Greater Faridabad,19 BHK,2000.0,16.0,490.0,19,24500.0
Greater Faridabad,13 BHK,5425.0,13.0,275.0,13,5069.124423963133
Greater Faridabad,18 Bedroom,1200.0,18.0,200.0,18,16666.666666666668
Greater Faridabad,3 BHK,1540.0,3.0,85.0,3,5519.480519480519
Greater Faridabad,4 Bedroom,1800.0,5.0,250.0,4,13888.888888888889
Greater Faridabad,5 Bedroom,2500.0,6.0,500.0,5,20000.0
Greater Faridabad,1 BHK,600.0,1.0,45.0,1,7500.0
Greater Faridabad,4 BHK,3150.0,4.0,150.0,4,4761.9047619047615
Greater Faridabad,8 Bedroom,1200.0,7.0,235.0,8,19583.333333333332
Greater Faridabad,3 BHK,2300.0,3.0,80.0,3,3478.2608695652175
Greater Faridabad,7 Bedroom,2400.0,7.0,355.0,7,14791.666666666666
Greater Faridabad,10 Bedroom,2416.0,10.0,600.0,10,24834.437086092716
Greater Faridabad,3 Bedroom,600.0,3.0,90.0,3,15000.0
Greater Faridabad,2 BHK,1250.0,2.0,67.0,2,5360.0
